Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2026-01-23 07:54:00+00:00,25128.0,25135.849609375,25124.94921875,25131.849609375,0
2026-01-23 07:55:00+00:00,25138.55078125,25146.650390625,25127.75,25127.75,0
2026-01-23 07:56:00+00:00,25136.75,25148.25,25136.650390625,25139.0,0
2026-01-23 07:57:00+00:00,25134.69921875,25137.94921875,25126.19921875,25137.400390625,0
2026-01-23 07:58:00+00:00,25131.099609375,25136.099609375,25124.94921875,25134.55078125,0
2026-01-23 07:59:00+00:00,25124.599609375,25131.599609375,25121.5,25131.5,0
2026-01-23 08:00:00+00:00,25095.30078125,25125.80078125,25094.349609375,25125.599609375,0
2026-01-23 08:01:00+00:00,25077.75,25095.5,25077.75,25093.900390625,0
2026-01-23 08:02:00+00:00,25072.099609375,25083.5,25070.55078125,25077.94921875,0
2026-01-23 08:03:00+00:00,25078.5,25089.099609375,25071.19921875,25073.30078125,0
2026-01-23 08:04:00+00:00,25070.650390625,25079.400390625,25068.099609375,25077.150390625,0
2026-01-23 08:05:00+00:00,25072.05078125,25077.150390625,25064.19921875,25072.25,0
2026-01-23 08:06:00+00:00,25062.900390625,25073.400390625,25060.650390625,25071.30078125,0
2026-01-23 08:07:00+00:00,25062.099609375,25066.400390625,25058.69921875,25062.900390625,0
2026-01-23 08:08:00+00:00,25063.05078125,25065.150390625,25060.44921875,25061.69921875,0
2026-01-23 08:09:00+00:00,25062.55078125,25064.75,25056.599609375,25062.80078125,0
2026-01-23 08:10:00+00:00,25076.349609375,25081.400390625,25062.05078125,25063.30078125,0
2026-01-23 08:11:00+00:00,25065.80078125,25077.19921875,25063.849609375,25076.44921875,0
2026-01-23 08:12:00+00:00,25058.650390625,25066.44921875,25056.44921875,25065.80078125,0
2026-01-23 08:13:00+00:00,25060.44921875,25061.5,25056.400390625,25058.900390625,0
2026-01-23 08:14:00+00:00,25049.55078125,25063.650390625,25047.849609375,25060.099609375,0
2026-01-23 08:15:00+00:00,25053.0,25053.0,25044.150390625,25049.25,0
2026-01-23 08:16:00+00:00,25053.150390625,25057.30078125,25046.400390625,25053.19921875,0
2026-01-23 08:17:00+00:00,25062.55078125,25067.5,25052.69921875,25052.69921875,0
2026-01-23 08:18:00+00:00,25062.69921875,25063.25,25053.150390625,25063.25,0
2026-01-23 08:19:00+00:00,25057.099609375,25064.25,25057.099609375,25062.849609375,0
2026-01-23 08:20:00+00:00,25055.05078125,25058.94921875,25050.80078125,25057.44921875,0
2026-01-23 08:21:00+00:00,25056.30078125,25058.099609375,25050.349609375,25055.25,0
2026-01-23 08:22:00+00:00,25059.400390625,25060.150390625,25054.55078125,25055.69921875,0
2026-01-23 08:23:00+00:00,25062.099609375,25064.30078125,25057.55078125,25060.25,0
2026-01-23 08:24:00+00:00,25063.69921875,25068.400390625,25061.69921875,25062.099609375,0
2026-01-23 08:25:00+00:00,25054.0,25070.5,25054.0,25063.25,0
2026-01-23 08:26:00+00:00,25065.30078125,25065.849609375,25053.900390625,25054.80078125,0
2026-01-23 08:27:00+00:00,25049.5,25064.25,25046.900390625,25063.400390625,0
2026-01-23 08:28:00+00:00,25054.55078125,25055.19921875,25046.75,25050.0,0
2026-01-23 08:29:00+00:00,25049.94921875,25056.349609375,25048.19921875,25056.0,0
2026-01-23 08:30:00+00:00,25054.19921875,25058.05078125,25046.80078125,25049.80078125,0
2026-01-23 08:31:00+00:00,25057.25,25058.650390625,25049.80078125,25054.849609375,0
2026-01-23 08:32:00+00:00,25060.30078125,25068.44921875,25057.900390625,25057.900390625,0
2026-01-23 08:33:00+00:00,25065.19921875,25067.0,25059.349609375,25059.400390625,0
2026-01-23 08:34:00+00:00,25065.30078125,25067.5,25063.849609375,25065.150390625,0
2026-01-23 08:35:00+00:00,25065.099609375,25075.25,25062.900390625,25065.650390625,0
2026-01-23 08:36:00+00:00,25057.650390625,25064.75,25054.19921875,25064.75,0
2026-01-23 08:37:00+00:00,25055.5,25061.349609375,25054.80078125,25057.099609375,0
2026-01-23 08:38:00+00:00,25059.19921875,25059.19921875,25051.849609375,25056.099609375,0
2026-01-23 08:39:00+00:00,25067.69921875,25070.349609375,25058.900390625,25058.900390625,0
2026-01-23 08:40:00+00:00,25058.25,25069.900390625,25057.75,25068.150390625,0
2026-01-23 08:41:00+00:00,25062.650390625,25064.5,25057.25,25058.099609375,0
2026-01-23 08:42:00+00:00,25065.25,25065.55078125,25056.400390625,25062.30078125,0
